Date, Time, mavlink_battery_status_t.energy_consumed, mavlink_battery_status_t.current_consumed, mavlink_battery_status_t.voltages, mavlink_scaled_pressure_t.press_abs, mavlink_rangefinder_t.distance
12/13/2022, 4:11:40 , 0, 0, 0, 512.4306, 0
12/13/2022, 4:11:40 , 0, 0, 0, 512.4306, 0.11
12/13/2022, 4:11:40 , 73, 81, , 512.4306, 0.11
12/13/2022, 4:11:41 , 73, 81, , 512.4283, 0.11
12/13/2022, 4:11:41 , 73, 81, , 512.4283, 0.11
12/13/2022, 4:11:41 , 73, 81, , 512.4283, 0.11
12/13/2022, 4:11:42 , 73, 81, , 512.4268, 0.11
12/13/2022, 4:11:42 , 73, 81, , 512.4268, 0.11
12/13/2022, 4:11:42 , 73, 82, , 512.4268, 0.11
12/13/2022, 4:11:43 , 73, 82, , 512.3901, 0.11
12/13/2022, 4:11:43 , 73, 82, , 512.3901, 0.11
12/13/2022, 4:11:43 , 74, 82, , 512.3901, 0.11
12/13/2022, 4:11:43 , 74, 82, , 512.3943, 0.11
12/13/2022, 4:11:43 , 74, 82, , 512.3943, 0.11
12/13/2022, 4:11:44 , 74, 82, , 512.3943, 0.11
12/13/2022, 4:11:44 , 74, 82, , 512.4143, 0.11
12/13/2022, 4:11:44 , 74, 82, , 512.4143, 0.11
12/13/2022, 4:11:44 , 74, 82, , 512.4143, 0.11
12/13/2022, 4:11:45 , 74, 82, , 512.4279, 0.11
12/13/2022, 4:11:45 , 74, 82, , 512.4279, 0.11
12/13/2022, 4:11:45 , 74, 82, , 512.4279, 0.11
12/13/2022, 4:11:46 , 74, 82, , 512.3965, 0.11
12/13/2022, 4:11:46 , 74, 82, , 512.3965, 0.11
12/13/2022, 4:11:46 , 74, 83, , 512.3965, 0.11
12/13/2022, 4:11:46 , 74, 83, , 512.3957, 0.11
12/13/2022, 4:11:46 , 74, 83, , 512.3957, 0.11
12/13/2022, 4:11:47 , 74, 83, , 512.3957, 0.11
12/13/2022, 4:11:47 , 74, 83, , 512.3859, 0.11
12/13/2022, 4:11:47 , 74, 83, , 512.3859, 0.11
12/13/2022, 4:11:47 , 75, 83, , 512.3859, 0.11
12/13/2022, 4:11:48 , 75, 83, , 512.4023, 0.11
12/13/2022, 4:11:48 , 75, 83, , 512.4023, 0.11
